group,class_id,subject_id,event_id,source_folder,whole_contact_area,whole_global_peak_pressure,whole_total_pti,whole_contact_duration_proxy,whole_total_plantar_load_proxy,heel_contact_area,heel_global_peak_pressure,heel_total_pti,heel_contact_duration_proxy,heel_total_plantar_load_proxy,mid_contact_area,mid_global_peak_pressure,mid_total_pti,mid_contact_duration_proxy,mid_total_plantar_load_proxy,fore_contact_area,fore_global_peak_pressure,fore_total_pti,fore_contact_duration_proxy,fore_total_plantar_load_proxy
NL,2,NL_06,NL_06_Marche2_event_001,NL_06\NL_06_Marche2_event_001,132.0,39.693015057212456,1014.4582985866886,0.7142857142857143,1166.04402136401,57.0,37.396838458128485,313.44591233791084,1.0,360.28265785966767,0.0,5.150701859192037,12.840422866205477,0.0,14.759106742764914,75.0,39.693015057212456,688.1719633825722,0.8235294117647058,791.0022567615773
NL,2,NL_06,NL_06_Marche2_event_002,NL_06\NL_06_Marche2_event_002,159.0,43.21302723242588,1018.9229132218228,0.8,1227.6179677371358,67.0,31.057709739250726,339.8652580400597,1.0,409.47621450609597,6.0,8.109175375696413,11.324595450141437,0.42857142857142855,13.644090903784864,86.0,43.21302723242588,667.7330597316217,0.8235294117647058,804.4976623272551
NL,2,NL_06,NL_06_Marche2_event_003,NL_06\NL_06_Marche2_event_003,132.0,42.79835135877738,1034.9046215711353,0.7142857142857143,1176.0279790581085,54.0,37.33072330185503,311.35175002341146,1.0,353.8088068447857,0.0,4.413779388581398,9.210396199844984,0.0,10.466359318005665,78.0,42.79835135877738,714.3424753478789,0.8235294117647058,811.752812895317
NL,2,NL_06,NL_06_Marche2_event_004,NL_06\NL_06_Marche2_event_004,141.0,43.64223745339889,1094.3056370558302,0.7428571428571429,1229.5568955683484,56.0,37.051774323053365,278.69626814462003,1.0,313.1418743197978,2.0,6.072183064684807,12.31370720785806,0.14285714285714285,13.83562607624501,83.0,43.64223745339889,803.2956617033522,0.8235294117647058,902.5793951723057
NL,2,NL_06,NL_06_Marche2_event_005,NL_06\NL_06_Marche2_event_005,142.0,41.74871426024673,1065.3688631057091,0.6571428571428571,1210.6464353473966,61.0,37.45134490464695,356.6807437980336,0.9090909090909091,405.31902704322005,0.0,3.6762559240613224,2.6751687539214606,0.0,3.039964493092569,81.0,41.74871426024673,706.0129505537541,0.7647058823529411,802.2874438110844
NL,2,NL_07,NL_07_Marche1_event_001,NL_07\NL_07_Marche1_event_001,71.0,36.342631323389966,523.5212745672143,0.6538461538461539,498.59169006401356,24.0,12.814019422389185,109.0164384480725,0.875,103.82517947435477,1.0,9.290584159772813,18.265612907649352,0.16666666666666666,17.39582181680891,46.0,36.342631323389966,396.2392232114923,0.75,377.3706887728498
NL,2,NL_07,NL_07_Marche1_event_002,NL_07\NL_07_Marche1_event_002,63.0,57.985494037723456,537.2908302188696,0.5,526.7557159008526,25.0,24.130098709359245,165.99317952618009,0.875,162.73841130017655,0.0,1.511738746511062,6.524730438243831,0.0,6.396794547297874,38.0,57.985494037723456,364.7729202544457,0.5,357.62051005337815
NL,2,NL_07,NL_07_Marche1_event_003,NL_07\NL_07_Marche1_event_003,72.0,47.182428866973765,490.5217161827879,0.5769230769230769,545.0241290919865,22.0,24.95260545248594,145.20054814338098,0.75,161.33394238153443,0.0,0.9338812179059636,1.457936557861379,0.0,1.6199295087348657,50.0,47.182428866973765,343.86323148154554,0.75,382.0702572017173
NL,2,NL_07,NL_07_Marche2_event_001,NL_07\NL_07_Marche2_event_001,79.0,39.55628921199256,483.01929203339546,0.6538461538461539,451.4198990966312,26.0,15.770799979749569,163.50908001670382,0.875,152.81222431467648,2.0,7.62666121520885,8.287118587364606,0.16666666666666666,7.744970642396829,51.0,39.55628921199256,311.223093429327,0.75,290.86270413955793
NL,2,NL_07,NL_07_Marche2_event_002,NL_07\NL_07_Marche2_event_002,70.0,29.29839830158213,583.5998688318255,0.6153846153846154,545.4204381605846,27.0,21.32940191793061,137.23265986360377,0.75,128.25482230243344,1.0,5.854059269974391,24.911609894558545,0.16666666666666666,23.28187840612948,42.0,29.29839830158213,421.45559907366317,0.75,393.8837374520217
NL,2,NL_07,NL_07_Marche2_event_003,NL_07\NL_07_Marche2_event_003,77.0,31.04895596171619,610.851689059296,0.6538461538461539,480.9855819364534,29.0,26.509105774606468,229.20606363107225,0.875,180.4772154575372,1.0,7.133096378711025,10.843724501703605,0.16666666666666666,8.538365749372916,47.0,31.04895596171619,370.80190092652003,0.75,291.97000072954336
NL,2,NL_07,NL_07_Marche2_event_004,NL_07\NL_07_Marche2_event_004,80.0,36.95532949079483,565.4994480332638,0.7407407407407407,518.8068330580402,26.0,23.001860703723775,161.33296219928803,0.75,148.01189192595234,8.0,6.526960752520628,36.549510001180025,0.8333333333333334,33.531660551541314,46.0,36.95532949079483,367.6169758327957,0.6923076923076923,337.2632805805465
NL,2,NL_08,NL_08_Marche1_event_001,NL_08\NL_08_Marche1_event_001,159.0,34.501494753264154,1103.7430806699567,0.9375,755.9884114177785,54.0,20.1679045159697,278.52584715369187,0.9,190.77112818746022,20.0,13.100806837983493,78.55750682840593,1.0,53.80651152630544,85.0,34.501494753264154,746.6597266878587,0.9333333333333333,511.41077170401275
NL,2,NL_08,NL_08_Marche1_event_002,NL_08\NL_08_Marche1_event_002,141.0,46.06838390486219,958.511234599067,0.875,748.8369020305212,45.0,15.479035124837898,200.2182093081579,0.8,156.42047602199835,7.0,11.921243392848893,40.90411870440453,0.7142857142857143,31.956342737816037,89.0,46.06838390486219,717.3889065865046,1.0,560.4600832707067
NL,2,NL_08,NL_08_Marche1_event_003,NL_08\NL_08_Marche1_event_003,119.0,35.51532067000199,987.1090988430051,0.7096774193548387,809.1058187237745,45.0,13.765401627337523,260.2907541982137,0.8,213.35307721165054,3.0,6.374996396220103,45.5515293233941,0.3333333333333333,37.337319117536154,71.0,35.51532067000199,681.2668153213972,0.8,558.4154223945878
NL,2,NL_08,NL_08_Marche1_event_004,NL_08\NL_08_Marche1_event_004,133.0,53.04457811138078,936.9131481849906,0.696969696969697,793.9941933771107,57.0,33.07370244316661,445.70345519578166,0.9,377.71479253879806,0.0,4.4344958138231245,26.027672317284182,0.0,22.057349421427272,76.0,53.04457811138078,465.18202067192476,0.875,394.2220514168854
NL,2,NL_08,NL_08_Marche1_event_005,NL_08\NL_08_Marche1_event_005,132.0,40.12812797700478,949.3484290917444,0.8387096774193549,825.5203731232559,51.0,22.312655396680668,344.5809831437821,0.9,299.6356375163322,12.0,8.175282074076902,56.387717629982596,1.0,49.0327979391153,69.0,40.12812797700478,548.3797283179797,0.7333333333333333,476.85193766780844
NL,2,NL_08,NL_08_Marche1_event_006,NL_08\NL_08_Marche1_event_006,116.0,46.72992048478695,942.4112798620066,0.625,785.3427332183387,46.0,22.625314594094583,354.24605942150674,0.8,295.2050495179223,2.0,9.105081957735322,30.562937172209676,0.14285714285714285,25.46911431017473,68.0,46.72992048478695,557.60228326829,0.7333333333333333,464.66856939024166
NL,2,NL_08,NL_08_Marche1_event_007,NL_08\NL_08_Marche1_event_007,116.0,30.192116782506076,923.734652205874,0.6333333333333333,721.667697035839,47.0,24.23280619567916,305.1427238724835,1.0,238.39275302537771,0.0,4.843657849166661,43.650365837374224,0.0,34.10184831044861,69.0,30.192116782506076,574.9415624960163,0.7142857142857143,449.1730957000127
NL,2,NL_08,NL_08_Marche2_event_001,NL_08\NL_08_Marche2_event_001,111.0,37.75831770626527,987.0704692786679,0.6129032258064516,720.4893936340641,34.0,12.674382837553106,216.77922788145767,0.7,158.23301305215887,4.0,7.089591700568391,38.52346409567495,0.3333333333333333,28.119316858156893,73.0,37.75831770626527,731.7677773015353,0.6666666666666666,534.1370637237483
NL,2,NL_08,NL_08_Marche2_event_002,NL_08\NL_08_Marche2_event_002,117.0,42.2277804622592,798.752835251677,0.6470588235294118,746.4979768707261,34.0,13.793834968790057,172.59959861570348,0.7272727272727273,161.3080360894425,0.0,2.584648102448415,0.8413118148002704,0.0,0.7862727241124022,83.0,42.2277804622592,625.3119248211733,0.875,584.4036680571712
NL,2,NL_08,NL_08_Marche2_event_003,NL_08\NL_08_Marche2_event_003,102.0,37.35599766545079,839.1220848883024,0.5625,784.2262475591612,47.0,23.816005004678104,397.09663932278227,0.8,371.1183545072731,0.0,0.9965547056445426,14.839853970714481,0.0,13.869022402536896,55.0,37.35599766545079,427.18559159480566,0.6666666666666666,399.2388706493511
NL,2,NL_08,NL_08_Marche2_event_004,NL_08\NL_08_Marche2_event_004,133.0,34.47102572130159,856.8608019681722,0.6470588235294118,816.0579066363543,49.0,25.303140278612226,297.9755182254848,0.7272727272727273,283.786207833795,2.0,7.363924609177083,20.736780938952364,0.14285714285714285,19.749315179954632,82.0,34.47102572130159,538.148502803735,0.8125,512.5223836226047
NL,2,NL_08,NL_08_Marche2_event_005,NL_08\NL_08_Marche2_event_005,132.0,39.74038455544622,935.6523823044731,0.75,792.925747715655,41.0,16.22707510496691,158.85561038579803,0.7,134.62339863203223,6.0,7.753455163020273,40.42043546603924,0.5714285714285714,34.2546063271519,85.0,39.74038455544622,736.3763364526358,0.8666666666666667,624.0477427564709
NL,2,NL_08,NL_08_Marche2_event_006,NL_08\NL_08_Marche2_event_006,141.0,31.475880306536247,889.3767109246344,0.7058823529411765,823.4969545598466,50.0,28.086045828360717,433.01242834904957,0.8181818181818182,400.9374336565274,0.0,1.97867209658469,1.7710920061195665,0.0,1.6399000056662651,91.0,31.475880306536247,454.5931905694652,0.9375,420.9196208976529
NL,2,NL_08,NL_08_Marche2_event_007,NL_08\NL_08_Marche2_event_007,134.0,62.22725156791927,1046.1815685504162,0.8709677419354839,871.8179737920134,57.0,21.26310619010143,276.54794280485817,1.0,230.4566190040485,18.0,15.275874077711201,124.2605527931903,1.0,103.55046066099192,59.0,62.22725156791927,645.3730729523677,0.7333333333333333,537.8108941269732
NL,2,NL_08,NL_08_Marche2_event_008,NL_08\NL_08_Marche2_event_008,154.0,31.23613032042998,917.802472269118,0.9393939393939394,849.8171039528868,55.0,18.030311482797696,308.47557413177714,0.9,285.6255316034974,13.0,6.809490441009443,40.63117961589607,1.0,37.62146260731118,86.0,31.23613032042998,568.6957185214446,0.9375,526.5701097420783
NL,2,NL_09,NL_09_Marche1_event_001,NL_09\NL_09_Marche1_event_001,128.0,42.136764333381436,692.3625433687914,0.7352941176470589,887.6442863702455,44.0,41.93903794323893,318.3692326006386,0.8181818181818182,408.16568282133153,4.0,5.881836420071126,34.081717648168635,0.2857142857142857,43.69450980534441,80.0,42.136764333381436,339.9115931199842,0.875,435.78409374356954
NL,2,NL_09,NL_09_Marche1_event_002,NL_09\NL_09_Marche1_event_002,128.0,49.06199020158446,689.1871804797961,0.7575757575757576,906.8252374734158,47.0,49.06199020158446,327.41084068846317,0.9,430.80373774797783,2.0,5.498670046448275,28.01214073707162,0.2857142857142857,36.85807991719949,79.0,33.238539722941184,333.7641990542613,0.875,439.1634198082385
NL,2,NL_09,NL_09_Marche1_event_003,NL_09\NL_09_Marche1_event_003,141.0,40.42666345376196,668.7260891067513,0.8235294117647058,903.6839041983126,42.0,40.42666345376196,257.26651423670774,0.8181818181818182,347.65745167122657,11.0,6.96327755150199,39.89634504083652,0.5714285714285714,53.91397978491422,88.0,36.39882194417311,371.5632298292071,0.9375,502.1124727421718
NL,2,NL_09,NL_09_Marche1_event_004,NL_09\NL_09_Marche1_event_004,99.0,77.1425620287491,645.5056657864075,0.5454545454545454,860.6742210485432,44.0,41.98973581563566,276.87900962036645,0.9,369.1720128271552,0.0,1.4993322426091924,5.168376479755445,0.0,6.891168639673925,55.0,77.1425620287491,363.45827968628555,0.5625,484.6110395817142
NL,2,NL_09,NL_09_Marche1_event_005,NL_09\NL_09_Marche1_event_005,150.0,32.881804361183185,715.3237357193253,0.9411764705882353,861.8358261678618,43.0,32.881804361183185,167.44454985139544,0.8181818181818182,201.74042150770538,18.0,14.069203370206088,104.57867672527482,1.0,125.99840569310223,89.0,31.241653605038053,443.3005091426551,1.0,534.0969989670543
NL,2,NL_09,NL_09_Marche1_event_006,NL_09\NL_09_Marche1_event_006,149.0,62.74794800527285,673.465946241407,0.90625,874.6310990148141,52.0,37.00775062195066,324.8743318446764,0.9,421.914716681398,17.0,9.453412654362142,35.88835708300745,1.0,46.608255951957716,80.0,62.74794800527285,312.70325731372304,0.8666666666666667,406.1081263814585
NL,2,NL_09,NL_09_Marche2_event_001,NL_09\NL_09_Marche2_event_001,153.0,38.26927010487876,674.6094730273873,0.8529411764705882,899.4792973698495,56.0,38.26927010487876,297.89234430607587,0.9090909090909091,397.1897924081012,23.0,11.025399025156881,72.72589707616062,1.0,96.96786276821416,74.0,34.046036587772264,303.9912316451507,0.75,405.3216421935342
NL,2,NL_09,NL_09_Marche2_event_002,NL_09\NL_09_Marche2_event_002,146.0,45.733356067228456,684.6120984497998,0.8,900.8053926971049,46.0,45.733356067228456,273.8687448784532,0.8181818181818182,360.35361168217526,12.0,8.142363364679575,47.000485141277935,0.5714285714285714,61.84274360694465,88.0,37.02612513347657,363.7428684300686,0.8823529411764706,478.60903740798494
NL,2,NL_09,NL_09_Marche2_event_003,NL_09\NL_09_Marche2_event_003,104.0,50.44815093668316,669.903672240593,0.5757575757575758,893.2048963207907,46.0,45.61858249889862,386.3604222308591,0.9,515.1472296411455,0.0,3.354684294044426,11.146223996475197,0.0,14.861631995300263,58.0,50.44815093668316,272.3970260132587,0.625,363.196034684345
NL,2,NL_09,NL_09_Marche2_event_004,NL_09\NL_09_Marche2_event_004,104.0,48.452136349262766,698.8674081200367,0.5588235294117647,907.620010545502,45.0,48.452136349262766,396.9753666892004,0.8181818181818182,515.5524242716888,0.0,3.943116099198431,18.869719634802024,0.0,24.506129395846788,59.0,42.68071340817367,283.0223217960342,0.625,367.56145687796646
NL,2,NL_09,NL_09_Marche2_event_005,NL_09\NL_09_Marche2_event_005,129.0,43.12513975074988,697.1800854976452,0.8235294117647058,860.7161549353646,42.0,43.12513975074988,326.64474664723525,0.8181818181818182,403.2651193175744,6.0,5.831554777444753,32.45223994605432,0.5714285714285714,40.064493760560886,81.0,37.10185061980355,338.08309890435567,0.9375,417.3865418572293
NL,2,NL_09,NL_09_Marche2_event_006,NL_09\NL_09_Marche2_event_006,129.0,46.463073834040145,720.3142344477392,0.7352941176470589,878.4319932289502,48.0,33.49302784198838,289.1909274763975,0.8181818181818182,352.6718627760946,4.0,5.999382111615164,43.095652435235905,0.42857142857142855,52.555673701507196,77.0,46.463073834040145,388.02765453610573,0.8125,473.2044567513484
NL,2,NL_10,NL_10_Marche1_event_001,NL_10\NL_10_Marche1_event_001,157.0,32.804547876069165,802.5519723054401,0.7428571428571429,1055.989437244,58.0,23.0,198.5941413155336,0.9090909090909091,261.3080806783336,1.0,5.457714116095014,26.992666417176693,0.14285714285714285,35.51666633839039,98.0,32.804547876069165,576.9651645727298,0.8823529411764706,759.1646902272762
NL,2,NL_10,NL_10_Marche1_event_002,NL_10\NL_10_Marche1_event_002,192.0,33.6552160252012,767.4336986455648,0.9722222222222222,1096.3338552079497,60.0,22.381908238210688,159.7506893192557,1.0,228.21527045607962,30.0,14.690967813037739,136.61140970252453,1.0,195.15915671789216,102.0,33.6552160252012,471.07159962378455,0.9411764705882353,672.9594280339779
NL,2,NL_10,NL_10_Marche1_event_003,NL_10\NL_10_Marche1_event_003,161.0,32.21002908564954,771.7671824555481,0.8,1071.8988645215943,61.0,22.10063743222977,176.51889278438256,0.9090909090909091,245.165128867198,2.0,6.989203545025644,39.16818089396871,0.2857142857142857,54.40025124162321,98.0,32.21002908564954,556.0801087771968,0.9411764705882353,772.3334844127731
